Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82795;15/03/2008;0000;25.2;23.3;84;951.4;9;3;8;
82795;15/03/2008;1200;25.3;23;82;951.9;14;3;6;
82795;15/03/2008;1800;31.6;23.2;50;948.8;14;3.3;4;
82795;16/03/2008;0000;23.3;21.1;82;951.5;9;3.3;3;
82795;16/03/2008;1200;26.2;22.1;69;952.6;14;2.1;2;
82795;16/03/2008;1800;30.4;23.1;54;949.1;14;3;10;
82795;17/03/2008;0000;23.2;21.5;86;952.5;14;3.3;8;
82795;17/03/2008;1200;24.8;22.4;81;952.4;14;2.6;8;
82795;17/03/2008;1800;31.2;22.1;45;948.1;9;4.6;6;
82795;18/03/2008;0000;24.3;22.7;87;952.1;9;3;9;
82795;18/03/2008;1200;26;23;78;952.8;14;2.1;5;
82795;18/03/2008;1800;30.2;23.2;55;949.5;14;3.3;10;
82795;19/03/2008;0000;21.7;21.5;99;952.5;9;1.1;10;
82795;19/03/2008;1200;25.7;22.7;77;951.7;23;2.3;7;
82795;19/03/2008;1800;29.6;24.3;64;948;14;3.3;9;
82795;20/03/2008;0000;23.7;23.1;94;951.7;9;4;9;
82795;20/03/2008;1200;22;21.4;95;952.2;36;0.5;10;
82795;20/03/2008;1800;27.3;23.1;71;948.8;14;3.3;7;
82795;21/03/2008;0000;22;21.7;98;952.7;14;2.5;10;
82795;21/03/2008;1200;23.9;22.2;87;952.6;9;2.3;8;
82795;21/03/2008;1800;26.2;22.3;70;948.5;14;4.5;7;
82795;22/03/2008;0000;22.2;21.8;95;951.4;9;2.8;10;
82795;22/03/2008;1200;22.8;21.8;91;952.6;9;1.5;9;
82795;22/03/2008;1800;25.7;23.9;85;949.3;5;1.6;9;
82795;23/03/2008;0000;23.3;22.7;95;951.9;9;3.1;10;
82795;23/03/2008;1200;24.2;22.7;87;951.9;18;2;9;
82795;23/03/2008;1800;28.9;24.1;67;947.9;14;3;9;
82795;24/03/2008;0000;23.5;22.8;95;951.4;9;4.5;9;
82795;24/03/2008;1200;25.3;23.3;84;952.5;14;3.1;8;
82795;24/03/2008;1800;30.3;23.7;57;948.7;14;2.1;8;
82795;25/03/2008;0000;23.1;22.5;94;952.5;9;2.1;10;
82795;25/03/2008;1200;25.2;23;82;952.6;23;1.5;8;
82795;25/03/2008;1800;29.2;23.5;63;948.4;14;3.1;7;
82795;26/03/2008;0000;21.2;21;99;952.7;0;0;10;
82795;26/03/2008;1200;25.2;23.2;84;951.6;14;1.6;8;
82795;26/03/2008;1800;26.2;22.3;70;948.1;5;3.3;8;
82795;27/03/2008;0000;23.5;22.7;94;951.1;9;1.1;9;
82795;27/03/2008;1200;25.6;23.1;80;950.9;14;3.1;8;
82795;27/03/2008;1800;28.1;23.4;67;946.7;14;3.1;6;
82795;28/03/2008;0000;23.7;22.9;93;949.6;9;3;9;
82795;28/03/2008;1200;25.2;23.2;84;950.3;9;2.1;9;
82795;28/03/2008;1800;24.1;21.9;82;948.3;9;5;10;
82795;29/03/2008;0000;22.9;22.1;93;950.1;9;2.5;10;
82795;29/03/2008;1200;24.5;22.5;85;951;9;3.8;8;
82795;29/03/2008;1800;25.5;22.9;81;947.4;9;3.3;8;
82795;30/03/2008;0000;23.1;22.8;96;950.1;9;1.6;9;
82795;30/03/2008;1200;22.9;22.2;94;950.4;9;3.5;10;
82795;30/03/2008;1800;27.3;23.8;76;947.3;14;3.5;9;
82795;31/03/2008;0000;22.7;22.2;95;950.3;9;0.8;9;
82795;31/03/2008;1200;23.8;22.7;91;950.5;14;2.8;10;
82795;31/03/2008;1800;25.9;22.8;77;946.5;9;2.6;7;
82795;01/04/2008;0000;22.7;22.1;94;949.7;9;2.3;10;
82795;01/04/2008;1200;24.6;22.9;85;950.1;18;1;9;
82795;01/04/2008;1800;27.8;23.2;68;948;14;3.3;7;
82795;02/04/2008;0000;23.4;22.7;95;949.9;5;2.1;9;
82795;02/04/2008;1200;23.8;22.4;89;950.9;9;1.8;10;
82795;02/04/2008;1800;27.1;23.8;76;946.4;9;1.8;8;
82795;03/04/2008;0000;23;22.3;95;949.9;9;3.3;10;
82795;03/04/2008;1200;23.9;22.6;90;950.9;14;1.6;8;
82795;03/04/2008;1800;28.1;23.3;66;947.2;14;2;6;
82795;04/04/2008;0000;23.1;21.4;85;950.3;9;2.3;3;
82795;04/04/2008;1200;25.4;22.3;77;951.1;9;0.8;2;
82795;04/04/2008;1800;28.5;23.5;67;947.4;14;1.9;8;
82795;05/04/2008;0000;23.9;23.1;94;950.8;9;3.6;5;
82795;05/04/2008;1200;24.9;22.7;83;951.5;14;3;6;
82795;05/04/2008;1800;27.2;23.8;76;948.1;5;3.1;7;
82795;06/04/2008;0000;22.5;21.6;93;950.6;14;1.8;10;
82795;06/04/2008;1200;25.1;22.7;80;952.3;14;1.8;6;
82795;06/04/2008;1800;25.2;23.2;84;948.6;14;3.5;9;
82795;07/04/2008;0000;22.1;21.9;99;951.4;14;3;8;
82795;07/04/2008;1200;23;22.4;96;952.3;14;3.1;10;
82795;07/04/2008;1800;23.2;21.9;89;949.5;14;2;10;
82795;08/04/2008;0000;22;21.6;97;951.4;9;1.6;9;
82795;08/04/2008;1200;23.3;22.5;93;953.1;9;2.1;10;
82795;08/04/2008;1800;24.8;23.1;87;950.2;9;3;6;
82795;09/04/2008;0000;22.8;22.4;96;952.4;9;1.6;9;
82795;09/04/2008;1200;21.9;21.6;97;953.6;14;3.5;10;
82795;09/04/2008;1800;27;24.6;82;950.2;5;1.6;6;
82795;10/04/2008;0000;22.9;22.2;94;951.4;9;4.5;9;
82795;10/04/2008;1200;24.1;21.8;81;951;14;3.1;7;
82795;10/04/2008;1800;27.1;22.2;66;947.5;14;3.1;5;
82795;11/04/2008;0000;23.7;22.5;90;949.5;9;2.5;8;
82795;11/04/2008;1200;24.5;22.7;87;950;14;3.1;9;
82795;11/04/2008;1800;24.3;22.5;86;947.2;14;3.3;8;
82795;12/04/2008;0000;22.7;21.9;92;949.1;9;1.8;9;
82795;12/04/2008;1200;25.3;22.8;81;950.9;9;2.5;9;
82795;12/04/2008;1800;28.7;23.3;62;947.3;14;2.5;7;
82795;13/04/2008;0000;23.2;22.4;93;950.3;9;2.8;8;
82795;13/04/2008;1200;24.1;22.8;89;951;9;2.3;8;
82795;13/04/2008;1800;24.6;23.8;92;948.6;9;3.3;10;
82795;14/04/2008;0000;22.8;22.2;95;951.4;9;2;9;
82795;14/04/2008;1200;24.9;23;86;952.4;14;1.5;8;
82795;14/04/2008;1800;26.1;23.3;80;948.6;9;3.3;10;
82795;15/04/2008;0000;23.2;22.6;94;951.9;9;1.8;9;
82795;15/04/2008;1200;25.3;22.7;80;953.3;9;2.5;8;
82795;15/04/2008;1800;27.3;22.6;68;948.9;9;3.3;6;
82795;16/04/2008;0000;23.2;22.5;93;951.6;9;3;8;
82795;16/04/2008;1200;24.2;22.6;87;953.4;14;1.8;7;
82795;16/04/2008;1800;28.5;23.2;65;949;14;2.1;5;
82795;17/04/2008;0000;22.8;22;93;952.9;9;3.1;0;
82795;17/04/2008;1200;25.7;22.6;76;954;14;4.5;6;
82795;17/04/2008;1800;28.1;22.9;63;949.4;14;3.3;5;
82795;18/04/2008;0000;23.1;22;89;953.2;9;3;5;
82795;18/04/2008;1200;24.3;22.7;87;952.7;14;3.3;9;
82795;18/04/2008;1800;27.6;23.7;72;948.9;14;2.5;8;
82795;19/04/2008;0000;23;22.4;96;952.2;9;2.5;8;
82795;19/04/2008;1200;24.7;22.3;81;952.3;9;3;9;
82795;19/04/2008;1800;28.2;24;70;948.6;9;3;7;
82795;20/04/2008;0000;23.2;22.3;92;951.8;9;2.8;8;
82795;20/04/2008;1200;24.7;22.6;83;953.3;14;3.1;8;
82795;20/04/2008;1800;28.7;23.3;62;949.2;14;3.8;4;
82795;21/04/2008;0000;23.4;22.2;91;952.1;14;3;8;
82795;21/04/2008;1200;25.2;22.3;77;953.3;14;3.6;8;
82795;21/04/2008;1800;27.8;22.9;66;949.7;14;4.6;7;
82795;22/04/2008;0000;23.5;22.2;90;952.4;14;3.1;5;
82795;22/04/2008;1200;25.5;23;82;952;14;3.1;9;
82795;22/04/2008;1800;28.1;23.2;65;948.4;14;3.3;7;
82795;23/04/2008;0000;23.2;22;89;951.5;14;2.6;8;
82795;23/04/2008;1200;24.2;23.2;91;952.1;14;3.1;10;
82795;23/04/2008;1800;21.1;20.7;96;950.3;9;3.1;10;
82795;24/04/2008;0000;21.6;20.9;94;950.9;14;0.8;10;
82795;24/04/2008;1200;24.7;23.2;87;952.3;14;2.1;9;
82795;24/04/2008;1800;27.8;24.1;74;948.5;14;3;6;
82795;25/04/2008;0000;23.8;23.2;95;951.1;9;2.8;9;
82795;25/04/2008;1200;24.4;23;89;951.5;14;3.1;8;
82795;25/04/2008;1800;28.1;22.4;61;948.2;14;3.5;4;
82795;26/04/2008;0000;22.9;22.1;93;950.9;9;3;4;
82795;26/04/2008;1200;24;21.9;84;950.9;9;3.1;6;
82795;26/04/2008;1800;27.6;22.5;65;948.3;14;2.5;4;
82795;27/04/2008;0000;22.2;21.1;89;951.2;14;3;0;
82795;27/04/2008;1200;23.9;23;93;951.5;14;2.1;7;
82795;27/04/2008;1800;22.9;22.1;93;949;14;4.8;10;
82795;28/04/2008;0000;21.1;20.7;96;951.4;14;3.5;10;
82795;28/04/2008;1200;23;22.1;93;951.4;14;3.1;9;
82795;28/04/2008;1800;25.8;23.3;81;949.2;14;3.1;7;
82795;29/04/2008;0000;22.8;22.2;95;950.6;9;2.8;4;
82795;29/04/2008;1200;24.2;22.6;87;951.2;14;2.8;9;
82795;29/04/2008;1800;26.4;22.6;72;947.8;14;4;9;
82795;30/04/2008;0000;22.8;22.2;95;950.8;9;2.5;4;
82795;30/04/2008;1200;24.9;21.4;74;952.3;14;3.3;4;
82795;30/04/2008;1800;27.2;22.6;68;947.7;14;2.6;5;
82795;01/05/2008;0000;23.8;22.4;89;950.3;9;2.8;6;
82795;01/05/2008;1200;24.3;22.5;85;951.9;18;3;9;
82795;01/05/2008;1800;24.1;22.2;84;948.6;9;3.5;10;
82795;02/05/2008;0000;22;21.6;97;951.3;9;1.5;9;
82795;02/05/2008;1200;25.1;22;75;952;9;6;7;
82795;02/05/2008;1800;25.5;22.1;73;948.7;9;5;7;
82795;03/05/2008;0000;22.7;21.8;92;951.4;9;3.1;5;
82795;03/05/2008;1200;23.8;21.9;84;952.2;14;2.5;8;
82795;03/05/2008;1800;27.6;22.5;63;949.1;14;1.6;6;
82795;04/05/2008;0000;23.8;22.2;87;951.6;9;2.3;5;
